Desc	Orthogroup	Achatina_immaculata	Biomphalaria_glabrata	Biomphalaria_straminea	Chrysomallon_squamiferum	Crassostrea_gigas	Cyclina_sinensis	Haliotis_rubra	Magallana_hongkongensis	Marisa_cornuarietis	Octopus_sinensis	Pinctada_fucata_martensii	Pomacea_canaliculata	Scapharca_Anadara_broughtonii
(null)	OG0000340	0	4	17	1	6	3	15	4	6	2	2	4	0
(null)	OG0000341	6	2	4	3	5	9	5	5	5	4	3	5	7
(null)	OG0000342	3	1	3	4	7	3	10	7	4	0	5	4	12
(null)	OG0000343	3	6	8	2	4	6	2	2	5	3	11	7	4
(null)	OG0000344	1	2	3	4	8	3	13	10	3	0	5	4	7
(null)	OG0000345	2	4	4	2	10	10	4	9	4	1	2	5	6
(null)	OG0000346	3	6	11	1	4	13	3	5	3	0	6	3	5
(null)	OG0000347	0	2	3	1	2	5	5	3	4	26	7	5	0
(null)	OG0000348	0	2	3	27	0	1	24	1	0	2	0	2	1
(null)	OG0000349	0	0	0	1	0	0	0	0	0	62	0	0	0
(null)	OG0000350	0	0	0	8	9	4	12	14	6	0	3	2	5
(null)	OG0000352	0	0	0	0	7	2	33	9	0	0	2	2	8
(null)	OG0000353	1	3	5	1	4	4	17	6	3	4	7	3	4
(null)	OG0000354	4	2	4	5	3	10	12	5	2	2	6	2	5
(null)	OG0000355	7	10	10	6	1	1	1	1	8	2	4	8	3
(null)	OG0000356	1	4	7	8	6	4	13	6	2	3	4	3	1
(null)	OG0000357	1	15	10	4	3	5	8	3	2	2	2	2	5
(null)	OG0000358	2	2	1	10	8	5	11	11	3	3	2	3	1
(null)	OG0000359	0	2	6	6	4	10	3	12	2	0	9	3	5
(null)	OG0000360	0	0	0	30	0	0	0	0	12	0	1	16	3
(null)	OG0000361	0	0	0	3	7	0	16	8	5	0	11	4	8
(null)	OG0000362	0	0	0	0	1	5	10	28	0	0	12	0	6
(null)	OG0000364	0	0	0	0	0	61	0	0	0	0	1	0	0
(null)	OG0000365	0	0	0	0	0	0	61	1	0	0	0	0	0
(null)	OG0000367	3	7	6	4	3	4	6	5	4	3	9	4	3
(null)	OG0000368	6	4	4	4	5	8	5	4	5	3	4	5	4
(null)	OG0000369	5	5	7	2	7	3	3	5	6	3	5	4	6
(null)	OG0000370	2	1	0	4	9	8	1	4	1	19	3	0	9
(null)	OG0000371	1	5	5	2	6	6	7	8	3	4	5	2	7
(null)	OG0000372	0	0	0	0	0	0	0	0	34	0	0	27	0
(null)	OG0000373	0	0	0	0	0	0	0	0	0	0	60	0	1
(null)	OG0000374	1	1	3	4	5	7	24	2	1	0	2	1	9
(null)	OG0000375	2	2	1	1	10	6	7	8	2	1	10	2	8
(null)	OG0000376	9	2	6	3	5	5	5	6	4	1	7	3	4
(null)	OG0000377	3	3	4	5	4	12	2	2	7	0	8	6	4
(null)	OG0000378	2	4	4	2	3	9	13	3	3	3	2	5	7
(null)	OG0000379	3	4	21	0	3	2	11	4	3	0	3	5	1
(null)	OG0000380	0	1	0	0	7	2	18	15	0	0	8	0	9
(null)	OG0000381	0	1	2	1	7	2	13	8	5	2	8	8	3
(null)	OG0000382	0	0	0	3	33	2	0	10	0	0	12	0	0
(null)	OG0000383	8	4	3	5	6	8	6	5	3	1	3	4	3
(null)	OG0000384	8	4	5	0	5	5	4	5	5	4	6	5	3
(null)	OG0000385	1	12	10	0	5	3	2	6	2	0	4	3	11
(null)	OG0000386	1	4	3	2	8	8	9	7	4	1	4	4	4
(null)	OG0000387	3	3	3	8	3	4	8	4	7	2	4	8	2
(null)	OG0000388	0	0	0	1	4	5	1	29	0	1	17	1	0
(null)	OG0000389	0	0	0	0	8	1	1	12	0	0	29	0	8
(null)	OG0000390	0	0	0	0	9	2	9	3	0	0	10	0	26
(null)	OG0000391	2	0	2	0	7	7	7	3	6	0	14	5	5
(null)	OG0000392	1	1	1	1	5	4	11	5	4	8	5	5	7
(null)	OG0000393	1	4	4	3	7	4	4	12	4	3	3	4	5
(null)	OG0000394	9	5	5	2	3	6	9	4	4	2	4	3	2
(null)	OG0000395	7	4	4	4	5	7	4	5	2	4	4	4	4
(null)	OG0000396	1	2	2	1	7	9	11	6	2	1	5	3	8
(null)	OG0000397	1	5	6	0	4	5	3	4	8	0	7	6	9
(null)	OG0000398	3	5	8	4	3	11	7	3	3	2	3	3	3
(null)	OG0000399	0	0	0	6	5	2	8	5	8	0	10	7	7
(null)	OG0000400	0	0	0	0	25	0	0	31	0	0	2	0	0
(null)	OG0000401	0	0	0	0	19	3	0	16	0	0	15	0	5
(null)	OG0000402	0	0	0	0	25	4	3	17	0	0	4	0	5
(null)	OG0000403	0	0	0	0	0	8	3	8	0	0	38	1	0
(null)	OG0000404	0	0	0	0	0	0	1	0	0	0	57	0	0
(null)	OG0000405	0	0	0	0	0	0	0	0	42	0	0	16	0
(null)	OG0000407	5	3	3	5	5	4	8	6	3	2	3	3	7
(null)	OG0000408	2	9	6	4	3	1	4	6	7	3	1	7	4
(null)	OG0000409	0	0	0	0	11	8	0	16	0	0	10	0	12
(null)	OG0000410	4	3	4	1	7	5	10	4	7	1	3	5	2
(null)	OG0000411	5	4	5	3	7	5	2	6	3	3	5	3	5
(null)	OG0000412	1	3	1	1	11	1	1	31	1	1	2	1	1
(null)	OG0000413	2	3	3	4	5	4	11	6	5	1	4	4	4
(null)	OG0000414	3	5	4	3	5	3	8	6	4	1	5	4	5
(null)	OG0000415	1	4	3	1	10	6	5	17	1	0	2	1	5
(null)	OG0000416	0	0	0	9	8	3	6	8	2	1	5	3	11
(null)	OG0000419	6	4	4	2	1	4	23	3	2	1	1	2	2
