#FamilyID	pvalue	Significant at 0.05
OG0001882	0.55	n
OG0001883	0.096	n
OG0001884	0.933	n
OG0001885	0.165	n
OG0001886	0.028	y
OG0001887	0.2	n
OG0001888	0.001	y
OG0001889	0.096	n
OG0001890	0.561	n
OG0001891	0.102	n
OG0001892	0.076	n
OG0001893	0.097	n
OG0001894	0.168	n
OG0001895	0.509	n
OG0001896	0.041	y
OG0001897	0.003	y
OG0001898	0	y
OG0001899	0.589	n
OG0001901	0.888	n
OG0001902	0.228	n
OG0001903	0.803	n
OG0001905	0.265	n
OG0001906	0.459	n
OG0001907	0.027	y
OG0001909	0.098	n
OG0001910	0.003	y
OG0001911	0.348	n
OG0001912	0.081	n
OG0001914	0.005	y
OG0001915	0.004	y
OG0001916	0.157	n
OG0001918	0.016	y
OG0001919	0.53	n
OG0001920	0.247	n
OG0001921	0.097	n
OG0001922	0.004	y
OG0001924	0.004	y
OG0001925	0.127	n
OG0001927	0.094	n
OG0001928	0.482	n
OG0001929	0.15	n
OG0001930	0.095	n
OG0001931	0.083	n
OG0001932	0.33	n
OG0001933	0.011	y
OG0001935	0.192	n
OG0001936	0.001	y
OG0001939	0.475	n
OG0001941	0.001	y
OG0001943	0.136	n
OG0001945	0.001	y
OG0001946	0	y
OG0001952	0.138	n
OG0001960	0.031	y
OG0001978	0.33	n
OG0001979	0.504	n
OG0001980	0.923	n
OG0001981	0.001	y
OG0001982	0.037	y
OG0001983	0.087	n
OG0001984	0.095	n
OG0001986	0.793	n
OG0001987	0.003	y
OG0001988	0.025	y
OG0001990	0.025	y
OG0001991	0.292	n
OG0001992	0.749	n
OG0001993	0.47	n
OG0001994	0.001	y
OG0001996	0.003	y
OG0001997	0.11	n
OG0001999	0.008	y
OG0002000	0.002	y
OG0002001	0.001	y
OG0002003	0.016	y
OG0002004	0.129	n
OG0002005	0.297	n
OG0002006	0.066	n
